,Link,Ranks
134,47,3.1483672786388164
135,78,3.1483672786388164
136,98,3.1483672786388164
137,107,3.1483672786388164
138,15,3.1483672786388164
139,17,3.1483672786388164
140,37,3.1483672786388164
141,60,3.1483672786388164
142,73,3.1483672786388164
143,94,3.1483672786388164
144,97,3.1483672786388164
145,120,3.1483672786388164
146,12,3.1483672786388164
147,29,3.1483672786388164
148,53,3.1483672786388164
149,22,3.1483672786388164
150,27,3.1483672786388164
151,36,3.1483672786388164
152,41,3.1483672786388164
153,101,3.1483672786388164
154,25087,3.1264136921600914
155,1401,3.0782475294293397
156,15790,3.0674761660835683
157,15858,2.9838921764910045
158,26466,2.9788979241105933
159,26464,2.9788979241105933
160,26467,2.9788979241105933
161,26468,2.9788979241105933
162,26465,2.9788979241105933
163,1389,2.9757604269227826
164,1381,2.9757604269227826
165,1393,2.9757604269227826
166,1399,2.9757604269227826
167,15859,2.971368951566082
168,15800,2.9557449680914685
169,15802,2.9557449680914685
170,15820,2.9557449680914685
171,15822,2.9557449680914685
172,15825,2.9557449680914685
173,15841,2.9557449680914685
174,15865,2.9557449680914685
175,15801,2.9557449680914685
176,15803,2.9557449680914685
177,15804,2.9557449680914685
178,15806,2.9557449680914685
179,15807,2.9557449680914685
180,15808,2.9557449680914685
181,15815,2.9557449680914685
182,15827,2.9557449680914685
183,15832,2.9557449680914685
184,15837,2.9557449680914685
185,15851,2.9557449680914685
186,15853,2.9557449680914685
187,15864,2.9557449680914685
188,15813,2.9557449680914685
189,15845,2.9557449680914685
190,15860,2.9557449680914685
191,15799,2.9557449680914685
192,15811,2.9557449680914685
193,15814,2.9557449680914685
194,15830,2.9557449680914685
195,15838,2.9557449680914685
196,15840,2.9557449680914685
197,15862,2.9557449680914685
198,15873,2.9557449680914685
199,15846,2.9557449680914685
200,15854,2.9557449680914685
201,15856,2.9557449680914685
202,15868,2.9557449680914685
203,15793,2.9557449680914685
204,15797,2.9557449680914685
205,15831,2.9557449680914685
206,15834,2.9557449680914685
207,15835,2.9557449680914685
208,15855,2.9557449680914685
209,15871,2.9557449680914685
210,15794,2.9557449680914685
211,15798,2.9557449680914685
212,15809,2.9557449680914685
213,15816,2.9557449680914685
214,15823,2.9557449680914685
215,15824,2.9557449680914685
216,15829,2.9557449680914685
217,15852,2.9557449680914685
218,15863,2.9557449680914685
219,15874,2.9557449680914685
220,15812,2.9557449680914685
221,15818,2.9557449680914685
222,15843,2.9557449680914685
223,15844,2.9557449680914685
224,15847,2.9557449680914685
225,15848,2.9557449680914685
226,15849,2.9557449680914685
227,15850,2.9557449680914685
228,15857,2.9557449680914685
229,15861,2.9557449680914685
230,15875,2.9557449680914685
231,15810,2.9557449680914685
232,15819,2.9557449680914685
233,15826,2.9557449680914685
234,15828,2.9557449680914685
235,15833,2.9557449680914685
236,15817,2.9557449680914685
237,15821,2.9557449680914685
238,15842,2.9557449680914685
239,15869,2.9557449680914685
240,15795,2.9557449680914685
241,15796,2.9557449680914685
242,15805,2.9557449680914685
243,15836,2.9557449680914685
244,15839,2.9557449680914685
245,15870,2.9557449680914685
246,15872,2.9557449680914685
247,1620,2.93562026840864
248,24899,2.9189596925296577
249,1448,2.6635711191558666
250,24458,2.4249669770838618
251,24455,2.4249669770838618
252,24457,2.4249669770838618
253,24456,2.4249669770838618
254,24463,2.4249669770838618
255,24454,2.4249669770838618
256,24459,2.4249669770838618
257,24462,2.4249669770838618
258,24464,2.4249669770838618
259,24453,2.4249669770838618
260,24460,2.4249669770838618
261,24461,2.4249669770838618
262,15585,2.324700348512632
263,25239,2.3107330509250317
264,1445,2.2628193036350805
265,1410,2.2628193036350805
266,25075,2.1243382969111995
267,25073,2.1243382969111995
268,25061,2.1243382969111995
269,25118,2.1243382969111986
270,25083,2.1243382969111986
271,25056,2.124338296911198
272,25848,2.025084543593546
273,25859,1.9631287737632148
274,25858,1.9609178596243129
275,1444,1.8546822898777424
276,1446,1.8427497637526702
277,25860,1.7200616302076264
278,26469,1.6888744839842231
279,25116,1.6793428531189474
280,1447,1.6030263979975077
281,2364,1.5611526947182652
282,11774,1.55359631985652
283,27228,1.4733790361625543
284,27232,1.4733790361625543
285,27222,1.4733790361625543
286,27229,1.4733790361625543
287,27224,1.4733790361625543
288,27231,1.4733790361625543
289,27225,1.4733790361625543
290,27223,1.4733790361625543
291,27226,1.4733790361625543
292,27227,1.4733790361625543
293,27230,1.4733790361625543
294,25089,1.4545601396308485
295,1504,1.4192544040138246
296,15673,1.37381953042015
297,15670,1.37381953042015
298,15672,1.37381953042015
299,15668,1.37381953042015
300,15671,1.37381953042015
301,15669,1.3172586457476343
302,6762,1.2768912341527285
303,1275,1.236215321139156
304,15523,1.2350616964491077
305,15525,1.2350616964491077
306,15524,1.2350616964491077
307,15473,1.2265831924435604
308,24898,1.2109926296783755
309,15548,1.1902862226169963
310,212,1.1572958672643539
311,1375,1.1518142527080037
312,154,1.1457039996589844
313,27028,1.1418559512198911
314,27024,1.1418559512198911
315,27036,1.1418559512198911
316,1345,1.1406058017864704
317,1407,1.1406058017864704
318,142,1.1341737170342947
319,27056,1.1341737170342947
320,27161,1.1341737170342947
321,27169,1.1341737170342947
322,26974,1.1341737170342947
